date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2020-11-21,2021,Ein Frankfurt,RB Leipzig,1,1,D,8.0,10.0,3.0,3.0
2020-11-21,2021,Hertha,Dortmund,2,5,A,9.0,15.0,3.0,8.0
2020-11-22,2021,FC Koln,Union Berlin,1,2,A,10.0,10.0,4.0,3.0
2020-11-22,2021,Freiburg,Mainz,1,3,A,19.0,22.0,6.0,8.0
2020-11-27,2021,Wolfsburg,Werder Bremen,5,3,H,12.0,5.0,6.0,4.0
2020-11-28,2021,Augsburg,Freiburg,1,1,D,10.0,10.0,2.0,5.0
2020-11-28,2021,Dortmund,FC Koln,1,2,A,14.0,7.0,4.0,5.0
2020-11-28,2021,RB Leipzig,Bielefeld,2,1,H,15.0,13.0,7.0,3.0
2020-11-28,2021,Stuttgart,Bayern Munich,1,3,A,15.0,14.0,4.0,6.0
2020-11-28,2021,Union Berlin,Ein Frankfurt,3,3,D,15.0,12.0,7.0,5.0
2020-11-28,2021,M'gladbach,Schalke 04,4,1,H,19.0,13.0,9.0,2.0
2020-11-29,2021,Leverkusen,Hertha,0,0,D,14.0,5.0,2.0,3.0
2020-11-29,2021,Mainz,Hoffenheim,1,1,D,10.0,9.0,4.0,5.0
2020-12-04,2021,Hertha,Union Berlin,3,1,H,10.0,4.0,7.0,1.0
2020-12-05,2021,Bayern Munich,RB Leipzig,3,3,D,10.0,8.0,6.0,4.0
2020-12-05,2021,FC Koln,Wolfsburg,2,2,D,6.0,16.0,3.0,6.0
2020-12-05,2021,Freiburg,M'gladbach,2,2,D,22.0,11.0,7.0,4.0
2020-12-05,2021,Bielefeld,Mainz,2,1,H,11.0,15.0,5.0,5.0
2020-12-05,2021,Ein Frankfurt,Dortmund,1,1,D,9.0,16.0,1.0,5.0
2020-12-06,2021,Werder Bremen,Stuttgart,1,2,A,14.0,11.0,4.0,7.0
2020-12-06,2021,Schalke 04,Leverkusen,0,3,A,13.0,24.0,4.0,9.0
2020-12-07,2021,Hoffenheim,Augsburg,3,1,H,10.0,13.0,7.0,3.0
2020-12-11,2021,Wolfsburg,Ein Frankfurt,2,1,H,16.0,7.0,8.0,4.0
2020-12-12,2021,Dortmund,Stuttgart,1,5,A,12.0,18.0,4.0,10.0
2020-12-12,2021,Freiburg,Bielefeld,2,0,H,16.0,5.0,7.0,1.0
2020-12-12,2021,Mainz,FC Koln,0,1,A,15.0,9.0,4.0,6.0
2020-12-12,2021,M'gladbach,Hertha,1,1,D,17.0,9.0,4.0,3.0
2020-12-12,2021,RB Leipzig,Werder Bremen,2,0,H,15.0,7.0,7.0,2.0
2020-12-12,2021,Union Berlin,Bayern Munich,1,1,D,13.0,15.0,6.0,5.0
2020-12-13,2021,Leverkusen,Hoffenheim,4,1,H,13.0,11.0,8.0,4.0
2020-12-13,2021,Augsburg,Schalke 04,2,2,D,8.0,15.0,4.0,4.0
2020-12-15,2021,Ein Frankfurt,M'gladbach,3,3,D,11.0,8.0,4.0,4.0
2020-12-15,2021,Hertha,Mainz,0,0,D,9.0,5.0,0.0,0.0
2020-12-15,2021,Stuttgart,Union Berlin,2,2,D,13.0,15.0,6.0,6.0
2020-12-15,2021,Werder Bremen,Dortmund,1,2,A,7.0,15.0,3.0,9.0
2020-12-16,2021,Schalke 04,Freiburg,0,2,A,10.0,11.0,2.0,5.0
2020-12-16,2021,Bayern Munich,Wolfsburg,2,1,H,13.0,17.0,2.0,7.0
2020-12-16,2021,Bielefeld,Augsburg,0,1,A,12.0,8.0,2.0,2.0
2020-12-16,2021,FC Koln,Leverkusen,0,4,A,7.0,14.0,1.0,7.0
