k_att,k_def,home_adv_log,brier
0.1,0.12,0.05,0.6268586335820541
0.12,0.08,0.15,0.6274422385301144
0.12,0.1,0.05,0.6275013493547866
0.12,0.06,0.2,0.6276481930768767
0.1,0.12,0.1,0.6281202514748113
0.12,0.1,0.1,0.6287453948639807
0.08,0.12,0.2,0.6294774158195098
0.1,0.1,0.2,0.6298634350727319
0.1,0.12,0.15,0.6303868889082759
0.12,0.08,0.2,0.6307109405899957
0.12,0.1,0.15,0.6309907485818435
0.12,0.12,0.05,0.6315812603902768
0.12,0.12,0.1,0.6327514269533523
0.1,0.12,0.2,0.6336062736606874
0.12,0.1,0.2,0.6341849706569984
0.12,0.12,0.15,0.634932145839474
0.12,0.12,0.2,0.6380690275158528
