date,season,match_id,home_team,away_team,home_goals,away_goals,result,home_atk_pre,home_def_pre,away_atk_pre,away_def_pre,home_atk_post,home_def_post,away_atk_post,away_def_post,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2020-10-17,2021,32,Freiburg,Werder Bremen,1,1,D,-0.0123,0.0398,-0.0034,0.0064,-0.0289,0.031,-0.0122,-0.0101,1484.14,1511.23,1483.26,1512.11
2020-10-17,2021,33,Bielefeld,Bayern Munich,1,4,A,-0.0536,-0.0599,0.1498,0.046,-0.0701,-0.0103,0.1994,0.0295,1499.1,1521.78,1463.15,1557.73
2020-10-18,2021,34,FC Koln,Ein Frankfurt,1,1,D,-0.0407,0.0475,0.0192,-0.0355,-0.0548,0.0378,0.0095,-0.0496,1431.51,1549.85,1434.1,1547.26
2020-10-18,2021,35,Schalke 04,Union Berlin,1,1,D,-0.0715,0.1888,0.0166,-0.0123,-0.0853,0.1746,0.0024,-0.0261,1410.15,1502.18,1411.76,1500.58
2020-10-23,2021,36,Stuttgart,FC Koln,1,1,D,0.047,-0.0321,-0.0548,0.0378,0.027,-0.0375,-0.0603,0.0178,1541.36,1434.1,1535.7,1439.75
2020-10-24,2021,37,Bayern Munich,Ein Frankfurt,5,0,H,0.1994,0.0295,0.0095,-0.0496,0.2567,0.0006,-0.0194,0.0077,1557.73,1547.26,1590.84,1514.15
2020-10-24,2021,38,Mainz,M'gladbach,2,3,A,-0.0858,0.1063,-0.0256,-0.0069,-0.0794,0.1362,0.0043,-0.0005,1390.93,1497.48,1374.16,1514.25
2020-10-24,2021,39,RB Leipzig,Hertha,2,1,H,0.0652,-0.0846,0.025,0.064,0.0633,-0.0907,0.0188,0.0622,1579.57,1458.97,1590.47,1448.07
2020-10-24,2021,40,Union Berlin,Freiburg,1,1,D,0.0024,-0.0261,-0.0289,0.031,-0.0156,-0.0324,-0.0352,0.013,1500.58,1483.26,1498.02,1485.82
2020-10-24,2021,41,Dortmund,Schalke 04,3,0,H,0.03,-0.0896,-0.0853,0.1746,0.0449,-0.1129,-0.1086,0.1895,1564.18,1411.76,1580.03,1395.91
2020-10-25,2021,42,Wolfsburg,Bielefeld,2,1,H,-0.0831,-0.0861,-0.0701,-0.0103,-0.0766,-0.0899,-0.0739,-0.0038,1502.85,1463.15,1517.8,1448.21
